"base_url","location_name","street_address","locality","city","zip","country","location_type","latitude","longitude","phone","payment_methods_accepted","types_of_food_served","rating","no_of_reviews","page_url"
"https://www.zomato.com","Chatkazz","Shop 2, Tirupati Plaza, Opposite Balaji Hall, Mahapuja Dham Chowk, 150 feet Ring Road, ","Mavdi, ","Rajkot","<MISSING>","India","Restaurant","22.2708690000","70.7799810000","+919016947448","<MISSING>","Fast Food, Beverages","3.6","25","https://www.zomato.com/rajkot/chatkazz-mavdi/order"
"https://www.zomato.com","Atul Ice Cream","Golden Point Complex, Opposite SBI Bank, Nana Mava Main Road, ","150 Feet Ring Road, ","Rajkot","<MISSING>","India","Restaurant","22.2739885788","70.7742674276","+919426712800","<MISSING>","Ice Cream, Desserts","3.7","42","https://www.zomato.com/rajkot/atul-ice-cream-150-feet-ring-road/order"
"https://www.zomato.com","Pizza Zone","New Area Complex, Opposite Reliance Mall, ","150 Feet Ring Road, ","Rajkot","<MISSING>","India","Restaurant","22.2789144655","70.7764309645","+917096562626","<MISSING>","Pizza, Italian","4.0","109","https://www.zomato.com/rajkot/pizza-zone-150-feet-ring-road/order"
"https://www.zomato.com","Bismillah Restaurant","Sadar Bazar Main Road, ","Race Course, ","Rajkot","360001","India","Restaurant","22.2985454751","70.7959130268","+918891078692","<MISSING>","North Indian, Beverages","<MISSING>","<MISSING>","https://www.zomato.com/rajkot/bismillah-restaurant-race-course/order"
"https://www.zomato.com","Bharat Fast Food","Rama Krishan Nagar, Opposite Virani High School, ","Dr Yagnik Road, ","Rajkot","<MISSING>","India","Restaurant","22.2878360000","70.7910800000","+919824009043","<MISSING>","Fast Food","3.5","35","https://www.zomato.com/rajkot/bharat-fast-food-1-dr-yagnik-road/order"
"https://www.zomato.com","Hotel Harmony","Opposite Shastri Medan, Near Limda Chowk, ","Arya Nagar, ","Rajkot","<MISSING>","India","Restaurant","22.2964440000","70.7994440000","+919429608950","<MISSING>","North Indian, South Indian, Chinese, Continental, Desserts, Beverages","3.4","8","https://www.zomato.com/rajkot/hotel-harmony-arya-nagar/order"
"https://www.zomato.com","Frankie Nation","Homi Dastur Marg, ","Dr Yagnik Road, ","Rajkot","<MISSING>","India","Restaurant","22.2915620000","70.7912980000","+919276767607","<MISSING>","Chinese, Rolls, Beverages","4.2","1554","https://www.zomato.com/rajkot/frankie-nation-dr-yagnik-road/order"
"https://www.zomato.com","Mehul's Kitchen","Sarveshwar Chowk, ","Dr Yagnik Road, ","Rajkot","360001","India","Restaurant","22.2930055085","70.7906523719","+919023321790","<MISSING>","North Indian, Fast Food, Street Food, Chinese, South Indian","4.2","6955","https://www.zomato.com/rajkot/mehuls-kitchen-dr-yagnik-road/order"
"https://www.zomato.com","Bhabha Dining Hall","Panchnath Road, Opposite Gandhi Museum, ","Soni Bazaar, ","Rajkot","360001","India","Restaurant","22.2976230012","70.8018308133","+919426602900","<MISSING>","Gujarati, North Indian","4.0","130","https://www.zomato.com/rajkot/bhabha-dining-hall-soni-bazaar/order"
"https://www.zomato.com","Bharmal Restaurant","Opposite Huseni Tower, Nutan Press Road, ","Race Course, ","Rajkot","<MISSING>","India","Restaurant","22.2990170000","70.7961590000","+919904471572","<MISSING>","North Indian, Chinese","3.9","232","https://www.zomato.com/rajkot/bharmal-restaurant-race-course/order"
"https://www.zomato.com","Bhagat Pavbhajiwala","Opposite Hero Honda Showroom, Gondal Road, ","Bhakti Nagar, ","Rajkot","360002","India","Restaurant","22.2866232837","70.8000337332","+918000060050","<MISSING>","Fast Food","4.1","82","https://www.zomato.com/rajkot/bhagat-pavbhajiwala-bhakti-nagar/order"
"https://www.zomato.com","Vahi Raja","Dr.Homi Dastur Maarg, Beside Dr. Yagnik Road, Rajkot","Dr Yagnik Road, ","Rajkot","360001","India","Restaurant","22.2915740000","70.7913920000","+918153000082, +918128200099","<MISSING>","Fast Food","3.8","164","https://www.zomato.com/rajkot/vahi-raja-dr-yagnik-road/order"
"https://www.zomato.com","Raju Omlet","Heera Complex, Opposite Soni Boarding, Fulchhab Chowk, Rajkot","Dr Yagnik Road, ","Rajkot","<MISSING>","India","Restaurant","22.2978640000","70.7942640000","+918128115676","<MISSING>","Fast Food","4.1","133","https://www.zomato.com/rajkot/raju-omlet-1-dr-yagnik-road/order"
"https://www.zomato.com","Sahjanand Restaurant","U-1 Umesh Complex,Near Chaudhray High Scool,Kasturba Marg, Rajkot","Junction Plot, ","Rajkot","<MISSING>","India","Restaurant","22.3022214194","70.7998754829","+919725000449","<MISSING>","Gujarati","3.5","22","https://www.zomato.com/rajkot/sahjanand-restaurant-junction-plot/order"
"https://www.zomato.com","Real Paprika","Sony Centre, Kalawad Road, ","Kotecha Nagar, ","Rajkot","<MISSING>","India","Restaurant","22.2879194204","70.7746462896","+919978668097","<MISSING>","Italian, Fast Food, Chinese","3.6","123","https://www.zomato.com/rajkot/real-paprika-kotecha-nagar/order"
"https://www.zomato.com","Rajshakti Gathiya","Shop 12, Rajmoti Complex, Krushna Nagar Main Road, Mavdi, ","Sardar Nagar, ","Rajkot","<MISSING>","India","Restaurant","22.2710542812","70.7932378338","+918140625585","<MISSING>","Gujarati, Street Food","<MISSING>","<MISSING>","https://www.zomato.com/rajkot/rajshakti-gathiya-sardar-nagar/order"
"https://www.zomato.com","Swati Thali","Shop 103, Mahadev Wadi Main Road, Opposite Rameshwar Park, ","Bhakti Nagar, ","Rajkot","<MISSING>","India","Restaurant","22.2772599057","70.7888861373","+919714141999","<MISSING>","Gujarati, Fast Food, North Indian","4.1","233","https://www.zomato.com/rajkot/swati-thali-bhakti-nagar/order"
"https://www.zomato.com","Swamy's Restaurant","Opposite Sun City, Sadhu Vasvani Road, ","Kotecha Nagar, ","Rajkot","<MISSING>","India","Restaurant","22.2963437058","70.7580782846","+919825105264","<MISSING>","South Indian","2.8","4","https://www.zomato.com/rajkot/swamys-restaurant-kotecha-nagar/order"
"https://www.zomato.com","Bismillah Restaurant Mesariya Wala","Top Khana, Near Kankeshwar Mahadev Temple, Jamnagar Road, ","Junction Plot, ","Rajkot","<MISSING>","India","Restaurant","22.3102650057","70.7952229680","+919097099991","<MISSING>","North Indian","<MISSING>","<MISSING>","https://www.zomato.com/rajkot/bismillah-restaurant-mesariya-wala-junction-plot/order"
"https://www.zomato.com","Pizza Town","80 Feet Road, Near Dr Chirag Patel Children Hospital, ","Bhakti Nagar, ","Rajkot","<MISSING>","India","Restaurant","22.2811711879","70.8078248799","+918866996699, +918866700700","<MISSING>","Gujarati, North Indian, Pizza, Desserts","3.7","55","https://www.zomato.com/rajkot/pizza-town-bhakti-nagar/order"
"https://www.zomato.com","Suryakant","Lodhawad Chowk, ","Bhakti Nagar, ","Rajkot","<MISSING>","India","Restaurant","22.2888342784","70.8001742139","+919898646172","<MISSING>","North Indian","4.0","135","https://www.zomato.com/rajkot/suryakant-bhakti-nagar/order"
"https://www.zomato.com","Narayan Chat Corner","Shop 7, Credit Corner Gf, Opposite Dr. Mori Hospital, 25 New Jagnath Plot, ","Dr Yagnik Road, ","Rajkot","<MISSING>","India","Restaurant","22.2941990000","70.7886470000","+918487898908","<MISSING>","Street Food","3.6","30","https://www.zomato.com/rajkot/narayan-chat-corner-dr-yagnik-road/order"
"https://www.zomato.com","A To Z Refreshments And Pan Parlour","Near New Cancer Hospital, Nirmala Road, ","Kotecha Nagar, ","Rajkot","<MISSING>","India","Restaurant","22.2981522117","70.7755387947","+918306445454","<MISSING>","Beverages","4.0","264","https://www.zomato.com/rajkot/a-to-z-refreshments-and-pan-parlour-kotecha-nagar/order"
"https://www.zomato.com","Chaikitli","13, Vijay Plot, Gondal Road, Opposite Dharti Honda, ","Bhakti Nagar, ","Rajkot","<MISSING>","India","Restaurant","22.2862668284","70.7995469123","+919898445554","<MISSING>","Fast Food, Cafe, Beverages","3.6","31","https://www.zomato.com/rajkot/chaikitli-bhakti-nagar/order"
